DayOfWeek,Location,Temperature,#retweets,#followers,label
[ 0.  0.  0.  0.  0.  0.  1.],[ 1.  0.  0.],15.31,0,521,"See our latest #SanFrancisco, CA #job and click to apply: Front Desk Coordinator - https://t.co/qhBkmB7fqP #BusinessMgmt #Hiring #CareerArc"
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],14.2,0,171,My new reaper sticker @sssniperwolf https://t.co/jLdGbZIZsf
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],14.2,0,109,#wonderman those are some nice legs 💃#heroesandvillainsfanfest @JohnBarrowman @heroesfanfest https://t.co/MwjBeVkHnH
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],,0,46,Me: How do I look? Boyfriend: Like a serial killer. Me: .... Bf: Uh...
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],14.2,0,51,I really want to jump off a 10 story building rn
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],8.67,0,7115,"Good news! Originally, they thought lanes would stay closed until 10pm. Estimated time of 7pm is way better! https://t.co/eHHd6UWLOe"
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],9.96,0,241,@wrwassociation @Fiddle_Pub_Cat Love all of it! But the lateral view of the lion makes him look winged. How utterly beautiful!!!!
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],9.96,0,275,Ya luv is not 2 kind to me. Yea
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],9.96,0,7737,Trump says he knew Flynn lied to FBI when he fired him  https://t.co/w2f1e5PXcF
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],8.67,0,4531,@AMatthiesen I have no idea why chips are so slow here. In Europe (where they’ve been in use for 15 years) its as fast as swiping.
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],14.2,0,12015,I’m back again for Poptopia!! https://t.co/5Vuz9hpU3M
[ 0.  0.  0.  0.  0.  0.  1.],[ 1.  0.  0.],15.31,0,1918,@cambridgemike Check out https://t.co/SJONNBbZyi 😉
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],9.96,0,7737,Here's how the Senate sealed the deal on the GOP's tax bill  https://t.co/AEthZc4ewX
[ 0.  0.  0.  0.  0.  0.  1.],[ 0.  0.  1.],14.2,0,275,bored and I want sushi
[ 0.  0.  0.  0.  0.  0.  1.],[ 1.  0.  0.],15.31,0,139,It’s 2017 and crossword puzzles are leading the resistance https://t.co/oVbIuz5OpZ
[ 0.  0.  0.  0.  0.  0.  1.],[ 1.  0.  0.],15.31,0,37554,@PaPaMarmalade So true
